자료명,저자,출판사,출판년도,소장처
전북의 판소리,[사단법인 마당] [편],전라북도,2003,자료실
서해연안,조상진,신아,1998,자료실
섬진강 따라걷기,신정일,가람기획,2001,자료실
(나를 찾아가는)하루산행. 2,신정일,사람과산,2001,자료실
(나를 찾아가는)하루 산행,신정일,푸른숲,2000,자료실
환경 교육론,남상준,대학사,2003,자료실
꽃으로도 때리지 말라,김혜자,오래된미래,2004,자료실
"장보고관계연구논문선집 : 중국편,일본편",해상왕장보고연구회 [편],해상왕장보고기념사업회,2002,자료실
原州誌(次),金成讚 [譯註],原州市,2004,자료실
그래도 사랑이다,윤후명,늘푸른소나무,2002,자료실
사람의 가을,김성옥,민음사,2003,자료실
초록빛 입맞춤,이섬,문학아카데미,2002,자료실
달빛은 푸르다,최동호,크리에이티브 여민,2004,자료실
말과 침묵 사이,한기팔,모아드림,2004,자료실
쉽게 詩가 쓰여진 날은 不安하다,임강빈,리토피아,2004,자료실
우포늪 왁새,배한봉,시와 시학사,2002,자료실
서른 살의 박봉 씨,성선경,문학과경계사,2004,자료실
"사랑, 내 모든 것을 다 주어도 모자라는 아기에게",석성우,고요아침,2003,자료실
물은 목마름 쪽으로 흐른다,허만하,솔,2003,자료실
벙어리장갑,오탁번,문학사상사,2002,자료실
동백숲에 길을 묻다,김선태,세계사,2004,자료실
한용운의 님의 침묵을 읽는다,김인환,열림원,2003,자료실
지금은 눈물의 시간이 아니다,서지월,천년의 시작,2003,자료실
꽃 막대기와 꽃뱀과 소녀와,이윤학,문학과지성사,2003,자료실
그리움은 영원히,최윤정,솟대,2003,자료실
(시로 읽는 황진이)그 사람 내게로 오네,이생진,우리글,2003,자료실
낙산산 가는 길,유경환,문학수첩,2002,자료실
반추,박이도,문학수첩,2003,자료실
사람은 사랑한 만큼 산다,박용재,민음사,2004,자료실
호랑이 발자국,손택수,창작과비평사,2003,자료실
염소,김성동,청년사,2002,자료실
그리움의 초상,이영진,문학수첩,2003,자료실
나는 푸른 트럭을 탔다,박찬일,민음사,2002,자료실
"아, 입이 없는 것들",이성복,문학과지성사,2003,자료실
그림자 호수,최영철,창작과비평사,2003,자료실
그 땅에는 길이 있다,이운룡,푸른사상,2002,자료실
늦은 노래,고은,민음사,2004,자료실
슬픔의 뿌리,도종환,실천문학사,2003,자료실
내 안의 광야,홍윤숙,열린,2002,자료실
내 눈앞의 전선,이향지,천년의 시작,2003,자료실
붉은 추억果 나무,이수익 外,고요아침,2002,자료실
무언가 찾아올 적엔,하종오,창작과비평사,2003,자료실
꽃에게 길을 묻는다,최두석,문학과지성사,2003,자료실
하늘의 시,오세영,황금북,2003,자료실
발아래 비의 눈들이 모여 나를 씻을 수 있다면,이찬,문학과지성사,2003,자료실
일곱 개의 단어로 된 사전,진은영,문학과지성사,2003,자료실
초망지비.광인일기 외/빙하시대.쇼리킴,강용준/송병수,삼성당,1998,자료실
내가 훔친 여름.육십년대식 외/잠자는 신화.황진이 외,김승옥/최인호,삼성당,1998,자료실
사무장과 배달원.노새 외/배회,방영웅/신상웅,삼성당,1998,자료실
막차로 온 손님들.폭군/잃은 자와 찾은 자.촉각,홍성원/김용성,삼성당,1998,자료실
들불/오욕의강물.월야 외,유현종/윤정규,삼성당,1998,자료실
일요일의 손님들/한국인,정연희/손장순,삼성당,1998,자료실
사랑과 죽음의 세월/개새끼들.선민의 거리,홍성유/정을병,삼성당,1998,자료실
태풍.웃음소리 외/낙엽.천망 외,최인훈/이병주,삼성당,1998,자료실
허허 선생.옛날 이야기 외/순례자.공장 아사기 외,남정현/박용숙,삼성당,1998,자료실
방앗골 혁명.산장/선혈의 대안.명암 외,오유권/이문희,삼성당,1998,자료실
전야제 외/월레소전,서기원/하근찬,삼성당,1998,자료실
깃발 없는 기수.묵시 외/심천도 외,선우희/이호철,삼성당,1998,자료실
가시내 선생 외/동토.이빨과 발톱 외,추식/박경수,삼성당,1998,자료실
유리의 덫/파시,강신재/박경리,삼성당,1998,자료실
자유인/5분간 외 / 밤에 핀 해바라기,김성한/이범선,삼성당,1998,자료실
강 건너 정인들/끊어진 다리,유주현/정한숙,삼성당,1998,자료실
원색의 계절/역사는 흐른다 외,손소희/한무숙,삼성당,1998,자료실
제2의 청춘 ; 제3인간형 외,안수길,삼성당,2001,자료실
내 애인은 왼손잡이,임동학 [글] ; 주홍 [그림],봄,2003,자료실
"조정래, 그의 문학 속으로",조정래,해냄,2002,자료실
식물은 왜 바흐를 좋아할까?,"차윤정 [글, 사진]",중앙 M&B,2002,자료실
(한상우 교수의 문화추리)우리것으로 철학하기,한상우,현암사,2003,자료실
오카방고 흔들리는 생명,닐스 엘드리지 [지음] ; 김동광 [옮김],세종서적(주),2002,자료실
"가면 뒤의 소년, Sam",톰 홀만 주니어 [지음] ; 이진 [옮김],한숲,2003,자료실
"성공하는 사람들의 아름다운 습관, 나눔",박원순,중앙M&B,2003,자료실
민족사 산책,김학배 [편저],강도문화유전보전회,2002,자료실
정신의 무거운 실험과 무한히 가벼운 실험정신,성귀수,문학세계사,2003,자료실
(김훈 에세이)자전거 여행 : 경기도 편,김훈 [글] ; 이강빈 [사진],생각의 나무,2004,자료실
(21세기)먼나라 이웃나라. 10: 미국인 편,이원복 [글.그림],김영사,2004,자료실
"베로니카, 죽기로 결심하다",파울로 코엘료 [지음] ; 이상해 [옮김],문학동네,2004,자료실
미국의 역사,프란시스 휘트니 外[지음] ; 이경식 [옮김],주한 미국대사관 공보과,2004,자료실
韓國漢字語辭典 : 附錄,檀國大學校附設東洋學硏究所 [編],檀國大學校出版部,1997,전자정보실
교육법전 : 부록,교육법전편찬회 [편],교학사,1998,전자정보실
同德九十年史,동덕90년사편찬위원회 [편],동덕여학단,2001,자료실
全北年鑑,전북일보사 [편],전북일보사,2002,전자정보실
교육법전,교육법전편찬회 [편],교학사,1998,전자정보실
英英韓辭典,吳昌根 [編],三熙社,1976,전자정보실
(국립국어연구원)표준국어대사전. 하. 3 (2000): ㅈ~ㅎ,국립국어연구원 [엮음],두산동아,2000,전자정보실
(국립국어연구원)표준국어대사전. 중. 2 (2000): ㅂ~ㅇ,국립국어연구원 [엮음],두산동아,2000,전자정보실
(국립국어연구원)표준국어대사전. 상. 1 (2000): ㄱ~ㅁ,국립국어연구원 [엮음],두산동아,2000,전자정보실
"Warszawskie getto, 1943-1988 : W 45 rocznice powstania",WYDAWNICTWO,WYDAWNICTWO,1988,자료실
무안 도리포 해저유물,국립해양유물전시관 [편],국립해양유물전시관,1995,자료실
포철교육재단30년(화보집),포철교육재단 [편],포철교육재단,2001,자료실
포철교육재단 30년사,포철교육재단 [편],포철교육재단,2001,자료실
Meeting of Minds,전주대학교 교재편찬분과위원회 [편저],전주대학교 출판부,1997,자료실
성자의 삶,조계종성륜사 ; 성륜사신도회 [편] ; 정진백 [글] ; 김동현 외[사진],사회문화원,2004,자료실
생각의 리더 10인,황호택,동아일보사,2004,자료실
張俊河文集. 1: 민족주의자의 길,장준하 [지음] ; 10주기추모문집간행위원회 [편],사상,1985,자료실
새국어 교육. 9: 43호-46호,한국국어교육학회 [편],한국국어교육학회,1997,자료실
국어학 사전,한글학회 [엮음],한글학회,1995,전자정보실
시사정보용어사전,국제언론문화사 [편],국제언론문화사,1992,자료실
書道大字典 下. 2,伏見沖敬 [編] 崔光烈 [譯],美術文化院,1983,자료실
書道大字典 上. 1,伏見沖敬 [編] 崔光烈 [譯],美術文化院,1983,전자정보실
黃河文明.下. 2,蔡鐘鳴 [편],방송보도기자회,1998,자료실
黃河文明 上. 1,蔡鐘鳴 [편],방송보도기자회,1998,자료실
한국 고대의 토기,국립중앙박물관 [편저],통천문화사,1997,자료실
마당굿 연희본. 2: 무형문화재 지정종목,심우성,깊은샘,1988,자료실
간디자서전,M.K. 간디 ; 함석헌 옮김,한길사,2003,자료실
우리들의 문학교실,문학교육연구회,까치,1988,자료실
(한국의 발견)강원도,뿌리깊은나무 [편],뿌리깊은나무,1992,자료실
Facing : Korea,Yellow Sea,Yellow Sea,2003,자료실
(2001)청소년백서,문화관광부,문화관광부 청소년국,2001,자료실
세계로 미래로 : 노태우 대통령 정상외교 화보,대통령비서실 [편],대통령비서실,1992,자료실
(사진으로 보는) 남북 관계 55년사,[북한문제연구소 편],북한문제연구소,2001,자료실
미국의 지리,스티븐S. 버졸 外[지음] ; 이경식 [옮김],주한 미국대사관 공보과,2004,자료실
미국의 정부,리처드C. 슈뢰더 外[지음] ; 이덕남 [옮김],주한미국대사관 공보과,2004,자료실
미국의 문학,캐서린 반 스팬커렌 [지음] ; 박강순 [옮김],주한 미국대사관 공보과,2004,자료실
사학연금30년사(1974~2004),사립학교교직원연금관리공단 [편],사립학교교직원연금관리공단,2004,자료실
Teaching English as a Second Language,Christina Bratt paulston ; Mary Newton Bruder [공저],Winthrop,1976,자료실
As you like it,W. Shakespeare [저] ; 시사문화사 편집부 [편역],시사문화사,1990,자료실
대구218,대구지하철 참사 희생자 대책위원회,마실가,2004,자료실
아쉬움만 남기고,최정송,행복한집,1999,자료실
제주4·3사건 진상조사 보고서,제주4·3사건진상조사보고서작성기획단 [작성],제주4·3사건진상규명및희생자명예회복위원회,2003,자료실
(The) Nigger of the 'Narcissus',Joseph Conrad [저] ; Cedric Watts [편],Penguin Books,1989,자료실
(A) Passage to India,E.M. Forster [저] ; Oliver Stallybrass [편],Penguin Books,1989,자료실
일본,타임라이프북스편집부 [편],한국일보타임-라이프,1991,자료실
국어 명사의 의미 연구,최경봉,태학사,1998,자료실
승정원일기. 138: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 137: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 136: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 135: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 134: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 133: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 132: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 131: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 130: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 129: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 128: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 127: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 126: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 125: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 124: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 107: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 106: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 105: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 104: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 103: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 102: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 101: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 100: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 99: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 98: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 97: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 96: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 95: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 94: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 93: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 92: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 91: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 90: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 89: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 88: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 87: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 86: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 85: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 84: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 83: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 82: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 81: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 80: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 79: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 78: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 77: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 76: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 75: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 74: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 73: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 72: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 71: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 70: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 69: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 68: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
승정원일기. 67: 고종,민족문화추진회 [편],민족문화추진회,1994,자료실
